 length	cost1	cost2	        cpu1	        cpu2
1000000	    6	   10	  1015625000	   984375000
1000000	    7	   15	  1015625000	   984375000
1000000	   15	   16	  1000000000	   984375000
1000000	   17	   13	  1000000000	   984375000
1000000	    8	   12	  1000000000	   984375000
1000000	   17	   11	  1015625000	   984375000
1000000	   11	   15	  1015625000	   968750000
1000000	    6	   13	  1015625000	   968750000
1000000	   11	   11	  1015625000	   984375000
1000000	   12	   16	  1000000000	   984375000
1000000	   12	   12	  1000000000	   984375000
1000000	   16	   10	  1015625000	   984375000
1000000	   15	   15	  1000000000	   984375000
1000000	   17	   10	  1000000000	   984375000
1000000	   19	   20	  1000000000	   968750000
1000000	   19	   20	  1015625000	   984375000
1000000	   13	   14	  1015625000	   984375000
1000000	   17	   12	  1000000000	   984375000
1000000	   13	   15	  1000000000	   984375000
1000000	   11	   14	  1015625000	   984375000
1000000	   16	   15	  1000000000	   984375000
1000000	   18	   10	  1015625000	   984375000
1000000	   15	   12	  1000000000	  1000000000
1000000	   13	   15	  1000000000	  1000000000
1000000	   12	   23	  1000000000	   984375000
1000000	   15	   12	  1000000000	   984375000
1000000	   16	   10	  1000000000	   984375000
1000000	   13	    9	  1000000000	   984375000
1000000	   11	   21	  1000000000	   984375000
1000000	    8	   11	  1015625000	   984375000
1000000	   12	   10	  1015625000	   968750000
