   length	     cost1	     cost2	        cpu1	        cpu2
  1000000	0.00018903	0.00117101	    78125000	    62500000
  1000000	0.00061166	0.00037148	    78125000	    62500000
  1000000	0.00218058	0.00002135	    78125000	    62500000
  1000000	0.00072064	0.00018705	    78125000	    62500000
  1000000	0.00244754	0.00069282	    78125000	    62500000
  1000000	0.00004972	0.00270608	    78125000	    62500000
  1000000	0.00007371	0.00005514	    78125000	    62500000
  1000000	0.00029650	0.00036867	    93750000	    62500000
  1000000	0.00157416	0.00085373	    78125000	    62500000
  1000000	0.00058491	0.00032478	    78125000	    62500000
  1000000	0.00029580	0.00019686	    78125000	    62500000
  1000000	0.00043566	0.00044983	    78125000	    62500000
  1000000	0.00019822	0.00050139	    78125000	    62500000
  1000000	0.00024710	0.00017216	    78125000	    62500000
  1000000	0.00064567	0.00027239	    78125000	    62500000
  1000000	0.00011798	0.00025655	    93750000	    62500000
  1000000	0.00008506	0.00009231	    78125000	    62500000
  1000000	0.00125608	0.00012204	    78125000	    62500000
  1000000	0.00004072	0.00019326	    78125000	    62500000
  1000000	0.00022359	0.00033624	    78125000	    62500000
  1000000	0.00057233	0.00173789	    78125000	    62500000
  1000000	0.00008799	0.00040755	    78125000	    62500000
  1000000	0.00069960	0.00049427	    93750000	    46875000
  1000000	0.00153557	0.00127551	    93750000	    62500000
  1000000	0.00003126	0.00028777	    78125000	    62500000
  1000000	0.00016552	0.00014945	    78125000	    62500000
  1000000	0.00003010	0.00053891	    78125000	    62500000
  1000000	0.00009035	0.00040176	    78125000	    62500000
  1000000	0.00003843	0.00027473	    78125000	    62500000
  1000000	0.00059947	0.00011063	    78125000	    62500000
  1000000	0.00052661	0.00091390	    78125000	    62500000
  1000000	0.00073528	0.00055903	    93750000	    62500000
  1000000	0.00039769	0.00103918	    78125000	    62500000
  1000000	0.00019846	0.00091595	    78125000	    62500000
  1000000	0.00044911	0.00033950	    78125000	    62500000
  1000000	0.00247856	0.00000276	    78125000	    62500000
  1000000	0.00004791	0.00011577	    78125000	    62500000
  1000000	0.00033876	0.00024406	    78125000	    62500000
  1000000	0.00144885	0.00011527	    78125000	    62500000
  1000000	0.00011604	0.00282959	    78125000	    62500000
  1000000	0.00024968	0.00063361	    93750000	    62500000
